FieldID	name	fieldType	IndexType	unitSet	unitModel	unitMetric	unitEnglish	SLower	SUpper	HLower	HUpper	Source	Type	ReadOnly	HasHelp	Access	Transfer	D1 type	D1 set	D1 model	D1 metric	D1 English	D1 BSL	D1 BSU	D1 BHL	D1 BHU	D1 source	D2 type	D2 set	D2 model	D2 metric	D2 English	D2 BSL	D2 BSU	D2 BHL	D2 BHU	D2 source	D3 type	D3 set	D3 model	D3 metric	D3 English	D3 BSL	D3 BSU	D3 BHL	D3 BHU	D3 source
kBagAmmonia_pct	N as ammonia	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.Ammonia_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagClayContent_pct	Clay	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.Clay_pct	1 MFD	0 Undefined																													
kBagFlatCropResidue_pct	Flat residue	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.FlatCropResidue_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagLabileP_pct	P as labile	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.LabileP_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagLimeOrEquivalent_pct	Lime (CaC03 equivalent)	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.calciumCarbonateOrEquivalent_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagMineralPActive_pct	P as active mineral	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.MineralPActive_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagMineralPStable_pct	P as stable mineral	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.MineralPStable_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagMulchFlatCropResidue_pct	Mulch flat residue	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.mulchFlatCropResidue_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagMulchOrganicNFresh_pct	Mulch fresh organic N	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.MulchOrganicNFresh_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagMulchOrganicPFresh_pct	Mulch fresh organic P	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.MulchOrganicPFresh_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagNitrate_pct	N as nitrate	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.Nitrate_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagOrganicMatter_pct	Organic matter	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.OrganicMatter_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagOrganicNActiveHumus_pct	N as active organic in humus	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.OrganicNActiveHumus_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagOrganicNFresh_pct	N as fresh organic	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.OrganicNFresh_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagOrganicNStableHumus_pct	N as stable organic in humus	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.OrganicNStableHumus_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined																			
kBagOrganicPFresh_pct	P as fresh organic	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.OrganicPFresh_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined
kBagOrganicPHumus_pct	P as organic in humus	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.OrganicPHumus_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined
kBagRockContent_pct	Rocks	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	30	0	30	1 Epic	2 State variable	FALSE	FALSE	contents.Rocks_pct	1 MFD	0 Undefined										
kBagSandContent_pct	Sand	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.Sand_pct	1 MFD	0 Undefined										
kBagSiltContent_pct	Silt	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.Silt_pct	1 MFD	0 Undefined										
kBagSulfurOrEquivalent_pct	Sulfur or equivalent	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	2 State variable	FALSE	FALSE	contents.SulfurOrEquivalent_pct	2 BDConvert	4 BagConc	31 kConcentration	1 g/t	2 g/kg	5 oz/T	0	100	0	5000	3 Unit set	0 Undefined
kBagWaterContent_mPm	Water content	1 Single	1 None	21 kNonChangingUnitMetersPMeter	1 m/m	1 m/m	1 m/m	0	1	0	10	3 Unit set	2 State variable	FALSE	FALSE	contents.WaterContent_mPm	1 MFD	0 Undefined										
kPlantAbsoluteTempForFrostKill_degC	Absolute frost kill temperature	1 Single	1 None	5 kTemperature	1 degrees C	1 degrees C	2 degrees F	-30	0	-30	0	2 KfSoft	1 Parameter	FALSE	FALSE	params.absoluteTempForFrostKill_degC	1 MFD	0 Undefined										
kPlantActualIncrease_tPha	Actual increase in biomass today	1 Single	1 None	9 kMassOverArea	2 t/ha	3 kg/m2	9 lb/ft2	0	0.001	0	1000000	3 Unit set	4 Output variable	TRUE	FALSE	biomass.actualIncrease_tPha	2 BDConvert	3 Area	6 kMass	4 t	2 g	6 lb	0	1.00E-06	0	1000000	3 Unit set	0 Undefined
kPlantAerationStressFactor_frn	Aeration growth constraint today	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0	1	3 Unit set	4 Output variable	TRUE	FALSE	constraints.aerationStressFactor_frn	1 MFD	0 Undefined										
kPlantAge	Plant age in days	2 Integer	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	0	365	0	10000	2 KfSoft	2 State variable	FALSE	FALSE	development.age	1 MFD	0 Undefined										
kPlantAluminumTolerance_pct	Highest aluminum saturation plant can tolerate	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	100	3 Unit set	1 Parameter	FALSE	FALSE	params.aluminumTolerance_pct	1 MFD	0 Undefined										
kPlantBaseTemp_degC	Growth minimum temperature	1 Single	1 None	5 kTemperature	1 degrees C	1 degrees C	2 degrees F	0	12	0	12	1 Epic	1 Parameter	FALSE	FALSE	params.baseTemp_degC	1 MFD	0 Undefined										
kPlantBiomassAdjustmentIfLAIDeclining	Biomass reduction factor from declining LAI today	1 Single	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	1	0	1000000	2 KfSoft	4 Output variable	TRUE	FALSE	constraints.biomassAdjustmentIfLAIDeclining	1 MFD	0 Undefined										
kPlantBiomassAdjustmentIfLAIDecliningFactor	Adjustment to biomass-energy ratio if LAI declining	1 Single	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	10	0	10	1 Epic	1 Parameter	FALSE	FALSE	params.biomassAdjustmentIfLAIDecliningFactor	1 MFD	0 Undefined										
kPlantBiomassGrowthConstraint_frn	Combined growth constraint today	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0	1	3 Unit set	4 Output variable	TRUE	FALSE	constraints.biomassGrowthConstraint_frn	1 MFD	0 Undefined										
kPlantBiomassTempStressFactor_frn	Temperature growth constraint today	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0	1	3 Unit set	4 Output variable	TRUE	FALSE	constraints.biomassTempStressFactor_frn	1 MFD	0 Undefined
kPlantBiomassToEnergyRatio_kgPhaPMJ	Photosynthate per unit of radiation	1 Single	1 None	17 kNonChangingUnitKilogramsPHectarePMegaJoulePSquareMeter	1 kg/ha/MJ/m2	1 kg/ha/MJ/m2	1 kg/ha/MJ/m2	10	50	10	50	1 Epic	1 Parameter	FALSE	FALSE	params.biomassToEnergyRatio_kgPhaPMJ	1 MFD	0 Undefined
kPlantBiomassToEnergyRatioAtElevatedCO2_kgPhaPMJ	Photosynthate per unit of radiation at elevated CO2 levels	1 Single	1 None	17 kNonChangingUnitKilogramsPHectarePMegaJoulePSquareMeter	1 kg/ha/MJ/m2	1 kg/ha/MJ/m2	1 kg/ha/MJ/m2	10	50	10	50	1 Epic	1 Parameter	FALSE	FALSE	params.biomassToEnergyRatioAtElevatedCO2_kgPhaPMJ	1 MFD	0 Undefined
